date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:44	16104/16104	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:44%20GMT	http://localhost/jac/index.php/gallery/infrastructure/labs	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/infrastructure/labs.html	(from http://localhost/jac/)
16:49:46	16108/16108	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:46%20GMT	http://localhost/jac/index.php/gallery/infrastructure/office	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/infrastructure/office.html	(from http://localhost/jac/)
16:49:48	14049/14049	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:48%20GMT	http://localhost/jac/index.php/gallery/infrastructure/library	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/infrastructure/library.html	(from http://localhost/jac/)
16:49:51	18657/18657	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:50%20GMT	http://localhost/jac/index.php/contact	C:/My%20Web%20Sites/jav/localhost/jac/index.php/contact.html	(from http://localhost/jac/)
16:50:34	272986/272986	---M--	200	added ('OK')	image/png	etag:%2242a5a-4ee955933695a%22	http://localhost/jac/images/resized/images/sampledata/slideshow/Final1_700_236.png	C:/My%20Web%20Sites/jav/localhost/jac/images/resized/images/sampledata/slideshow/Final1_700_236.png	(from http://localhost/jac/)
16:50:36	277212/277212	---M--	200	added ('OK')	image/png	etag:%2243adc-4ee9559412f25%22	http://localhost/jac/images/resized/images/sampledata/slideshow/Final3_700_236.png	C:/My%20Web%20Sites/jav/localhost/jac/images/resized/images/sampledata/slideshow/Final3_700_236.png	(from http://localhost/jac/)
16:50:38	290373/290373	---M--	200	added ('OK')	image/png	etag:%2246e45-4ee9559479cc7%22	http://localhost/jac/images/resized/images/sampledata/slideshow/Final4_700_236.png	C:/My%20Web%20Sites/jav/localhost/jac/images/resized/images/sampledata/slideshow/Final4_700_236.png	(from http://localhost/jac/)
16:50:39	2046/2046	---M--	200	added ('OK')	image/jpeg	etag:%227fe-4d02c174e79c0%22	http://localhost/jac/images/sampledata/ja_university/sam-7.jpg	C:/My%20Web%20Sites/jav/localhost/jac/images/sampledata/ja_university/sam-7.jpg	(from http://localhost/jac/)
16:50:39	300696/300696	---M--	200	added ('OK')	image/png	etag:%2249698-4ee95593b793a%22	http://localhost/jac/images/resized/images/sampledata/slideshow/Final2_700_236.png	C:/My%20Web%20Sites/jav/localhost/jac/images/resized/images/sampledata/slideshow/Final2_700_236.png	(from http://localhost/jac/)
16:50:40	2046/2046	---M--	200	added ('OK')	image/jpeg	etag:%227fe-4d02c174e79c0%22	http://localhost/jac/images/sampledata/ja_university/sam-8.jpg	C:/My%20Web%20Sites/jav/localhost/jac/images/sampledata/ja_university/sam-8.jpg	(from http://localhost/jac/)
